ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
221,130.0,100.0,90.0,148.0,90.0,115.0,119.0,167.0,111.0,107.0,78.0,126.0,616.0,162.0,83.0,fluidanimate
80,13.0,7.0,20.0,16.0,14.0,15.0,14.0,15.0,13.0,15.0,11.0,17.0,358.0,16.0,15.0,fluidanimate
65,7.0,2.0,5.0,9.0,6.0,10.0,5.0,4.0,4.0,6.0,4.0,5.0,536.0,9.0,7.0,fluidanimate
59,12.0,6.0,10.0,14.0,17.0,13.0,9.0,8.0,8.0,14.0,10.0,10.0,317.0,9.0,13.0,fluidanimate
84,13.0,8.0,14.0,10.0,12.0,13.0,11.0,11.0,9.0,14.0,14.0,13.0,507.0,12.0,16.0,fluidanimate
57,6.0,4.0,8.0,9.0,7.0,7.0,9.0,12.0,6.0,7.0,6.0,11.0,366.0,8.0,10.0,fluidanimate
59,5.0,3.0,9.0,4.0,8.0,7.0,5.0,4.0,3.0,9.0,5.0,7.0,582.0,8.0,6.0,fluidanimate
66,8.0,4.0,8.0,7.0,8.0,8.0,6.0,10.0,6.0,8.0,6.0,6.0,353.0,8.0,10.0,fluidanimate
96,8.0,2.0,13.0,11.0,10.0,13.0,12.0,7.0,10.0,8.0,7.0,11.0,517.0,15.0,11.0,fluidanimate
80,13.0,3.0,16.0,13.0,15.0,16.0,13.0,12.0,10.0,8.0,13.0,9.0,323.0,19.0,17.0,fluidanimate
60,8.0,0.0,8.0,7.0,10.0,10.0,9.0,4.0,6.0,6.0,7.0,8.0,510.0,14.0,9.0,fluidanimate
42,6.0,3.0,4.0,7.0,8.0,7.0,4.0,5.0,2.0,5.0,7.0,5.0,313.0,5.0,5.0,fluidanimate
67,8.0,5.0,7.0,8.0,7.0,7.0,6.0,8.0,6.0,5.0,7.0,7.0,597.0,12.0,6.0,fluidanimate
43,9.0,5.0,9.0,9.0,8.0,8.0,7.0,12.0,7.0,10.0,8.0,12.0,374.0,9.0,10.0,fluidanimate
87,10.0,6.0,11.0,12.0,10.0,10.0,11.0,9.0,8.0,6.0,7.0,12.0,594.0,13.0,10.0,fluidanimate
